ALOI,49534,27,1508,3.04,Image
annthyroid,7200,6,534,7.42,Healthcare
backdoor,95329,196,2329,2.44,Network
breastw,683,9,239,34.99,Healthcare
campaign,41188,62,4640,11.27,Finance
cardio,1831,21,176,9.61,Healthcare
Cardiotocography,2114,21,466,22.04,Healthcare
celeba,202599,39,4547,2.24,Image
census,299285,500,18568,6.20,Sociology
cover,286048,10,2747,0.96,Botany
donors,619326,10,36710,5.93,Sociology
fault,1941,27,673,34.67,Physical
fraud,284807,29,492,0.17,Finance
glass,214,7,9,4.21,Forensic
Hepatitis,80,19,13,16.25,Healthcare
http,567498,3,2211,0.39,Web
InternetAds,1966,1555,368,18.72,Image
Ionosphere,351,32,126,35.90,Oryctognosy
landsat,6435,36,1333,20.71,Astronautics
letter,1600,32,100,6.25,Image
Lymphography,148,18,6,4.05,Healthcare
magic.gamma,19020,10,6688,35.16,Physical
mammography,11183,6,260,2.32,Healthcare
mnist,7603,100,700,9.21,Image
musk,3062,166,97,3.17,Chemistry
optdigits,5216,64,150,2.88,Image
PageBlocks,5393,10,510,9.46,Document
pendigits,6870,16,156,2.27,Image
Pima,768,8,268,34.90,Healthcare
satellite,6435,36,2036,31.64,Astronautics
satimage-2,5803,36,71,1.22,Astronautics
shuttle,49097,9,3511,7.15,Astronautics
skin,245057,3,50859,20.75,Image
smtp,95156,3,30,0.03,Web
SpamBase,4207,57,1679,39.91,Document
speech,3686,400,61,1.65,Linguistics
Stamps,340,9,31,9.12,Document
thyroid,3772,6,93,2.47,Healthcare
vertebral,240,6,30,12.50,Biology
vowels,1456,12,50,3.43,Linguistics
Waveform,3443,21,100,2.90,Physics
WBC,223,9,10,4.48,Healthcare
WDBC,367,30,10,2.72,Healthcare
Wilt,4819,5,257,5.33,Botany
wine,129,13,10,7.75,Chemistry
WPBC,198,33,47,23.74,Healthcare
yeast,1484,8,507,34.16,Biology
CIFAR10,5263,512,263,5.00,Image
FashionMNIST,6315,512,315,5.00,Image
MNIST-C,10000,512,500,5.00,Image
SVHN,5208,512,260,5.00,Image
Agnews,10000,768,500,5.00,NLP
Amazon,10000,768,500,5.00,NLP
Imdb,10000,768,500,5.00,NLP
Yelp,10000,768,500,5.00,NLP
