,IForest,KNN,CBLOF,PCA,ECOD,GPLVM
01_ALOI,0.031745300454463034,0.042232870812872976,0.03734362680572903,0.0375210883070804,0.03376768935004484,0.036890514826299486
02_annthyroid,0.35349939828394195,0.2589668544523561,0.1959163822277188,0.20692160389168074,0.2984247159961488,0.1865486020788238
03_backdoor,0.05094171942191526,0.26352514129819116,0.29786406821752115,0.2693277262701827,0.1028414332181799,0.2888179725846841
04_breastw,0.9542975431379449,0.9007303539343459,0.8978186035301994,0.9531512775079334,0.9749898433773871,0.8870047832045129
05_campaign,0.24905605697748795,0.2600240741381711,0.27419025450164514,0.2731008624447841,0.3017160885617285,0.23931672486877792
06_cardio,0.6157182148130151,0.3732454051537387,0.2668256963622323,0.6523185048808671,0.5928251245390739,0.4098439807738834
07_Cardiotocography,0.47840306883687744,0.3136748502681603,0.3416331770380252,0.5101378337710457,0.533255570265987,0.37932495510572617
08_celeba,0.09486277203314858,0.09242428094118,0.07431098025188514,0.16974579069856705,0.14421082897338452,0.1446062418487693
09_census,0.07520399993678135,0.09199127572750156,0.0883906352196566,0.08729226970395994,0.08296226155301398,0.08738082924303854
10_cover,0.056817236312358604,0.0701631401253012,0.06483184874437396,0.07683960635610633,0.09285285914364463,0.09589899453824738
11_donors,0.13940808278137384,0.17634776479032763,0.1610909308332482,0.16729607350134337,0.28017429590658716,0.1420927870292631
12_fault,0.4088448045149171,0.5089181041218627,0.4212925075997851,0.32983747117869006,0.33460679109410685,0.45122788848442474
13_fraud,0.23114269668192822,0.14096898622760692,0.1349573534356143,0.09784351509469992,0.23883291847128463,0.09755534674340742
14_glass,0.15366651473667134,0.10849861134438063,0.1474321222870546,0.11749492478352169,0.23852269185988478,0.08810450972746792
15_Hepatitis,0.4105113764452534,0.17,0.35831445832880615,0.43485331978740727,0.34013037209343217,0.21491043617930433
16_http,1.0,0.005333333333333333,0.6153846153846154,0.6666666666666666,0.18604651162790697,0.4448181678707952
