,IForest,KNN,CBLOF,PCA,ECOD,GPLVM
01_ALOI,0.03113384129964352,0.0426782547326673,0.0356206867031612,0.036487011062116374,0.03381813293156929,0.036128718638167884
02_annthyroid,0.5217655086674909,0.3615536717257873,0.2239563969885057,0.44075332183205423,0.38978633079688135,0.24036624341759616
03_backdoor,0.05067663741913547,0.5396870557651854,0.2861593570160441,0.2841027641031709,0.12271361399350826,0.27513090998162104
04_breastw,0.9741005725358921,0.9834804226908016,0.9787907906682706,0.9772278219309164,0.9718002444274757,0.9853357497399604
05_campaign,0.2763396259011341,0.28977428709376646,0.2675403497644917,0.319863782540501,0.31798734514684346,0.2886084255520152
06_cardio,0.6712344987575971,0.6334379180408821,0.6860284217898901,0.789555609891504,0.6867683963393053,0.6746140708937816
07_Cardiotocography,0.5459439512224904,0.4884241028903926,0.5468421089781282,0.6381010560347844,0.6254144715845369,0.5244257391185185
08_celeba,0.1142069103688963,0.10982268522840749,0.20353358832492074,0.1800770210217478,0.15056681151322787,0.17020943080153775
09_census,0.07453009167251523,0.10254416857936073,0.08996563951631442,0.1422519255980877,0.08841933801177106,0.08831025606904067
10_cover,0.05800577624554393,0.2860344962758461,0.07842293106782182,0.0929461671805889,0.13387187260485903,0.13304983033864937
11_donors,0.3657571729896988,0.6695845413698797,0.28339658707412063,0.212390811805589,0.32418714418853395,0.3172286575066017
12_fault,0.48318705976309567,0.604671095462453,0.5245838048260163,0.38685620871195336,0.3559105565502118,0.5718928861015035
13_fraud,0.23381319691075772,0.14096898622760692,0.09495757153544412,0.13180124978654062,0.24343927460331255,0.13133523577127232
14_glass,0.11962341876299912,0.3740622072858915,0.16847972769681327,0.11982335710655703,0.24557476460786143,0.30601481106574485
15_Hepatitis,0.47186410601217255,0.8743406284818729,0.5845488982331991,0.6755910685222833,0.5178100416666217,0.9867074694584648
16_http,0.5161290322580645,0.9411764705882353,0.6153846153846154,0.9411764705882353,0.3404255319148936,0.4448181678707952
17_InternetAds,0.1698482756447926,0.38747733690538566,0.3073748907269749,0.6733239460375747,0.6224476318243696,0.31272145975624555
18_Ionosphere,0.9077890946976913,0.9681634071580253,0.9903030275372735,0.8969213737197864,0.7503350628079825,0.9843163622301953
19_landsat,0.25005065104752455,0.42454911538813667,0.32529179989208074,0.17981799014756594,0.18178329704365126,0.27958768242977133
20_letter,0.10443840242681121,0.2731222887024565,0.19210616625703458,0.09084861436827499,0.09065230991050725,0.26295528380489264
21_Lymphography,0.9257703081232491,0.9523809523809523,0.9857142857142855,0.9857142857142855,0.8890977443609023,0.9952380952380951
22_magic.gamma,0.6668967584179016,0.7689911556573107,0.6793393639468708,0.6080877970505141,0.5341392733047651,0.7091157017257528
23_mammography,0.3463733180862807,0.3040205546941948,0.19664983669420688,0.29694307674807674,0.4601552877039702,0.19137877428349903
24_mnist,0.4023186568777822,0.6299910045728495,0.5026508765012077,0.5538869044434601,0.22974007421123388,0.5454320466346043
25_musk,0.19741874749861288,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9964299869769546,0.9999999999999998
26_optdigits,0.10913482275853592,0.21495816106630292,0.07933999089704008,0.031507838177351415,0.03931608307926397,0.11574410923208833
27_PageBlocks,0.5323370233414937,0.6907565279006296,0.5483361456192846,0.587275825926891,0.589779195543122,0.6535831871937983
28_pendigits,0.4045101521610667,0.977782798077418,0.31960503830197895,0.20202881545838383,0.23282896180043144,0.4404701612099951
29_Pima,0.5854432186618117,0.6053866731473648,0.5595318709896255,0.5608970333981794,0.5518543501580375,0.5421072615505964
30_satellite,0.7923982194646145,0.8371204849204342,0.815916244965533,0.6963220731882809,0.6196775311132976,0.7624887472595383
