,dataset,kernel,layers,latent_dim,auc_roc,lr,batch_size,n_inducing,n_epochs,auc_pr,train_noise
0,01_ALOI,rbf,"5,5",13,0.5001001061502952,0.01,128,50,1000,0.036067882485622316,0.030142856761813164
1,02_annthyroid,rbf,"10,10,10",3,0.6650937499999999,0.01,128,50,1000,0.1863903675599543,0.07420635223388672
2,03_backdoor,rbf,"15,15",15,0.7900259185704875,0.01,128,50,1000,0.27046150685513265,0.023571427911520004
3,04_breastw,rbf,"10,10,10",4,0.963011188271605,0.01,128,50,1000,0.8952554539157845,0.36000001430511475
4,05_campaign,rbf,"5,5",15,0.7248361233769394,0.01,128,50,1000,0.27302134289584234,0.11028571426868439
5,06_cardio,rbf,"15,15",10,0.850802930792301,0.01,128,50,1000,0.4382263633639709,0.09601873904466629
6,07_Cardiotocography,rbf,"5,5",10,0.6045021645021645,0.01,128,50,1000,0.3433879879210435,0.22041919827461243
7,08_celeba,rbf,"5,5",15,0.8294395733572166,0.01,128,50,1000,0.16952633143862464,0.022285714745521545
8,09_census,rbf,"10,10,10",15,0.0,0.01,128,50,1000,0.0,0.061571430414915085
9,10_cover,rbf,"5,5",5,0.929027382010193,0.01,128,50,1000,0.12474440050361224,0.011142857372760773
10,11_donors,rbf,"5,5",5,0.7376499708541051,0.01,128,50,1000,0.11022674227881224,0.05414285883307457
11,12_fault,rbf,"15,15",13,0.48047088173384267,0.01,128,50,1000,0.3300053209119642,0.34683358669281006
12,13_fraud,rbf,"10,10",14,0.8759265442404007,0.01,128,50,1000,0.09965006901326029,0.001571428612805903
13,14_glass,rbf,"10,10",3,0.7518087448883297,0.01,128,50,1000,0.11396157144904603,0.037142857909202576
14,15_Hepatitis,rbf,"10,10,10",9,0.7146231986770613,0.01,128,50,1000,0.26738165739248554,0.16857142746448517
15,16_http,rbf,"5,5",1,0.9970467493297587,0.01,128,50,1000,0.4474967392993667,0.005428571254014969
16,17_InternetAds,rbf,"10,10",15,0.0,0.01,128,50,1000,0.0,0.1875
17,18_Ionosphere,rbf,"5,5",15,0.8139234449760766,0.01,128,50,1000,0.7645930075888381,0.36571428179740906
18,19_landsat,rbf,"5,5",15,0.3760026126714565,0.01,128,50,1000,0.16564853251647538,0.2071492075920105
19,20_letter,rbf,"15,15",15,0.5292592592592593,0.01,128,50,1000,0.09026664853429195,0.0625
20,21_Lymphography,rbf,"10,10,10",9,0.9143356643356645,0.01,128,50,1000,0.24087712761043958,0.04571428522467613
21,22_magic.gamma,rbf,"10,10",5,0.691438913656202,0.01,128,50,1000,0.6238567148139602,0.350857138633728
22,23_mammography,rbf,"15,15",3,0.8372472112992537,0.01,128,50,1000,0.12775236747027452,0.02257142774760723
23,24_mnist,rbf,"5,5",15,0.8589501276126095,0.01,128,50,1000,0.4409099099400624,0.09207064658403397
24,25_musk,rbf,"10,10",15,1.0,0.01,128,50,1000,0.9999999999999998,0.031731218099594116
25,26_optdigits,rbf,"10,10",15,0.516608187134503,0.01,128,50,1000,0.02746068876127523,0.028759244829416275
26,27_PageBlocks,rbf,"15,15",5,0.9071404671083451,0.01,128,50,1000,0.4922991861354141,0.09456953406333923
27,28_pendigits,rbf,"10,10",8,0.7848359356842528,0.01,128,50,1000,0.05864268267152859,0.022665834054350853
28,29_Pima,rbf,"15,15",4,0.6518812648297903,0.01,128,50,1000,0.5048414656778315,0.3557142913341522
29,30_satellite,rbf,"10,10",15,0.6106215592917721,0.01,128,50,1000,0.6195245542227859,0.3163854479789734
30,31_satimage-2,rbf,"15,15",15,0.9864341085271318,0.01,128,50,1000,0.8465089489659775,0.012309207580983639
31,32_shuttle,rbf,"5,5",4,0.9795622957572877,0.01,128,50,1000,0.7111554005065651,0.07357142865657806
32,33_skin,rbf,"10,10",1,0.7345218109379889,0.01,128,50,1000,0.3139951281927723,0.21242856979370117
33,34_smtp,rbf,"10,10,10",1,0.8326108702900967,0.01,128,50,1000,0.0019880715705765406,0.0001428571413271129
34,35_SpamBase,rbf,"10,10",15,0.0,0.01,128,50,1000,0.0,0.3991168439388275
35,36_speech,rbf,"10,10",15,0.4738562091503268,0.01,128,50,1000,0.017366085271433948,0.01666666753590107
36,37_Stamps,rbf,"15,15",4,0.8456727272727274,0.01,128,50,1000,0.3643751646026331,0.08428571373224258
37,38_thyroid,rbf,"10,10,10",3,0.9387616459627329,0.01,128,50,1000,0.3005123427199903,0.024621212854981422
38,39_vertebral,rbf,"10,10",3,0.3820192307692308,0.01,128,50,1000,0.10442565531460121,0.1314285695552826
39,40_vowels,rbf,"10,10",6,0.8669826224328594,0.01,128,50,1000,0.536730549392722,0.034347400069236755
40,41_Waveform,rbf,"5,5",10,0.7726819541375873,0.01,128,50,1000,0.1335865304600098,0.029045643284916878
41,42_WBC,rbf,"10,10",4,0.9790940766550522,0.01,128,50,1000,0.6143990624759856,0.044285714626312256
42,43_WDBC,rbf,"5,5",15,0.9882758620689656,0.01,128,50,1000,0.7548039215686274,0.03285714238882065
43,44_Wilt,rbf,"15,15",2,0.2986728392133797,0.01,128,50,1000,0.03492804867787301,0.05336495861411095
44,45_wine,rbf,"10,10",6,0.607487922705314,0.01,128,50,1000,0.09672206162013289,0.08142857253551483
45,46_WPBC,rbf,"10,10",15,0.47988148148148146,0.01,128,50,1000,0.26180833000748815,0.24857142567634583
46,47_yeast,rbf,"10,10",4,0.44047619047619047,0.01,128,50,1000,0.31146408409479015,0.34200385212898254
