,dataset,kernel,layers,latent_dim,lr,batch_size,n_inducing,n_epochs,noise_type,noise_ratio,auc_roc,auc_pr,train_noise,anomaly_type
0,01_ALOI,rbf,"5,5",13,0.01,128,50,1000,irrelevant_features,0.01,0.5001001061502952,0.036067882485622316,0.030142856761813164,
1,02_annthyroid,rbf,"10,10,10",3,0.01,128,50,1000,irrelevant_features,0.01,0.6650937499999999,0.1863903675599543,0.07420635223388672,
2,03_backdoor,rbf,"15,15",2,0.01,128,50,1000,irrelevant_features,0.01,0.7962579162238711,0.29518064267691163,0.023571427911520004,
3,04_breastw,rbf,"10,10,10",4,0.01,128,50,1000,irrelevant_features,0.01,0.963011188271605,0.8952554539157845,0.36000001430511475,
4,05_campaign,rbf,"5,5",15,0.01,128,100,1000,irrelevant_features,0.01,0.724853668447963,0.2732081494241182,0.11028571426868439,
5,06_cardio,rbf,"15,15",10,0.01,128,50,1000,irrelevant_features,0.01,0.850802930792301,0.4382263633639709,0.09601873904466629,
6,07_Cardiotocography,rbf,"5,5",10,0.01,128,10,1000,irrelevant_features,0.01,0.6072582972582973,0.3468400787653008,0.22041919827461243,
7,08_celeba,rbf,"5,5",15,0.01,128,50,1000,irrelevant_features,0.01,0.8294395733572166,0.16952633143862464,0.022285714745521545,
8,09_census,rbf,"10,10,10",2,0.01,128,50,1000,irrelevant_features,0.01,0.6710249147904566,0.095912341562327,0.061571430414915085,
9,10_cover,rbf,"5,5",5,0.01,128,10,1000,irrelevant_features,0.01,0.9393530859658261,0.10658798861370637,0.011142857372760773,
10,11_donors,rbf,"5,5",5,0.01,128,100,1000,irrelevant_features,0.01,0.7349311373859178,0.11334782072660829,0.05414285883307457,
11,12_fault,rbf,"15,15",2,0.01,128,50,1000,irrelevant_features,0.01,0.6931992411839609,0.5150339605686719,0.34683358669281006,
12,13_fraud,rbf,"10,10",2,0.01,128,50,1000,irrelevant_features,0.01,0.9471118530884808,0.13850139294559943,0.001571428612805903,
13,14_glass,rbf,"10,10",3,0.01,128,50,1000,irrelevant_features,0.01,0.7518087448883297,0.11396157144904603,0.037142857909202576,
14,15_Hepatitis,rbf,"10,10,10",9,0.01,128,50,1000,irrelevant_features,0.01,0.7146231986770613,0.26738165739248554,0.16857142746448517,
15,16_http,rbf,"5,5",1,0.01,128,50,1000,irrelevant_features,0.01,0.9970467493297587,0.4474967392993667,0.005428571254014969,
16,17_InternetAds,rbf,"10,10",2,0.01,128,50,1000,irrelevant_features,0.01,0.6142424242424243,0.2684236844390918,0.1875,
17,18_Ionosphere,rbf,"5,5",15,0.01,128,50,1000,irrelevant_features,0.01,0.8139234449760766,0.7645930075888381,0.36571428179740906,
18,19_landsat,rbf,"5,5",2,0.01,128,50,1000,irrelevant_features,0.01,0.5619497060744612,0.23383513340153309,0.2071492075920105,
19,20_letter,rbf,"15,15",5,0.01,128,50,1000,irrelevant_features,0.01,0.8553333333333334,0.2742274328111241,0.0625,
20,21_Lymphography,rbf,"10,10,10",9,0.01,128,50,1000,irrelevant_features,0.01,0.9143356643356645,0.24087712761043958,0.04571428522467613,
