,dataset,kernel,layers,latent_dim,auc_roc,lr,batch_size,n_inducing,n_epochs,auc_pr
0,01_ALOI,rbf,"5,5",13,0.539058397772732,0.01,128,50,1000,0.037091840153108
1,01_ALOI,rbf,"15,15",13,0.519834239325473,0.01,128,50,1000,0.035777845188136
2,01_ALOI,rbf,"10,10,10",13,0.510968234240836,0.01,128,50,1000,0.036107513478620006
3,01_ALOI,rbf,"10,10",13,0.5128456967576941,0.01,128,50,1000,0.036107364515343
4,02_annthyroid,rbf,"10,10",3,0.6959906250000001,0.01,128,50,1000,0.27057214338732904
5,02_annthyroid,rbf,"15,15",3,0.6976749999999999,0.01,128,50,1000,0.265766255379632
6,02_annthyroid,rbf,"10,10,10",3,0.6988249999999999,0.01,128,50,1000,0.285002244364487
7,02_annthyroid,rbf,"5,5",3,0.683115625,0.01,128,50,1000,0.26840421790532304
8,03_backdoor,rbf,"5,5",15,0.0,0.01,128,50,1000,
9,03_backdoor,rbf,"10,10",15,0.0,0.01,128,50,1000,
10,03_backdoor,rbf,"15,15",15,0.7979697921224851,0.01,128,50,1000,0.29356189737432103
11,03_backdoor,rbf,"10,10,10",15,0.0,0.01,128,50,1000,0.0
12,04_breastw,rbf,"15,15",4,0.9948398919753081,0.01,128,50,1000,0.990421101757017
13,04_breastw,rbf,"10,10",4,0.9957561728395061,0.01,128,50,1000,0.9919643838123581
14,04_breastw,rbf,"10,10,10",4,0.9963348765432091,0.01,128,50,1000,0.9931303884099961
15,04_breastw,rbf,"5,5",4,0.993055555555555,0.01,128,50,1000,0.9867785650767831
16,05_campaign,rbf,"10,10,10",15,0.0,0.01,128,50,1000,0.0
17,05_campaign,rbf,"15,15",15,0.726594592269528,0.01,128,50,1000,0.263985937688261
18,05_campaign,rbf,"10,10",15,0.0,0.01,128,50,1000,0.0
19,05_campaign,rbf,"5,5",15,0.7321965636563471,0.01,128,50,1000,0.27330377776666004
20,06_cardio,rbf,"5,5",10,0.94491477164876,0.01,128,50,1000,0.643597332342776
21,06_cardio,rbf,"15,15",10,0.957063133518089,0.01,128,50,1000,0.7154000906032341
22,06_cardio,rbf,"10,10,10",10,0.948787061994609,0.01,128,50,1000,0.6482772609205081
23,06_cardio,rbf,"10,10",10,0.9564936790554641,0.01,128,50,1000,0.692719618085984
24,07_Cardiotocography,rbf,"15,15",10,0.7452669552669551,0.01,128,50,1000,0.512043865284426
25,07_Cardiotocography,rbf,"5,5",10,0.7464790764790761,0.01,128,50,1000,0.513957942579513
26,07_Cardiotocography,rbf,"10,10",10,0.741529581529581,0.01,128,50,1000,0.5176835156253681
27,07_Cardiotocography,rbf,"10,10,10",10,0.7350793650793651,0.01,128,50,1000,0.52121351578205
28,08_celeba,rbf,"10,10,10",15,0.8294497509045291,0.01,128,50,1000,0.16953670587309902
29,08_celeba,rbf,"15,15",15,0.0,0.01,128,50,1000,0.0
30,08_celeba,rbf,"10,10",15,0.8294344845835601,0.01,128,50,1000,0.169467331367008
31,08_celeba,rbf,"5,5",15,0.8294522952913571,0.01,128,50,1000,0.16947799985591103
32,09_census,rbf,"10,10,10",15,0.0,0.01,128,50,1000,0.0
33,09_census,rbf,"15,15",15,0.0,0.01,128,50,1000,0.0
34,09_census,rbf,"10,10",15,0.0,0.01,128,50,1000,0.0
35,09_census,rbf,"5,5",15,0.0,0.01,128,50,1000,0.0
36,10_cover,rbf,"15,15",5,0.940211007956205,0.01,128,50,1000,0.13236171762342802
37,10_cover,rbf,"10,10",5,0.930692159205809,0.01,128,50,1000,0.13866231696182002
38,10_cover,rbf,"5,5",5,0.9489944950005611,0.01,128,50,1000,0.17266470762265201
39,10_cover,rbf,"10,10,10",5,0.9367691066376601,0.01,128,50,1000,0.138620087628541
40,11_donors,rbf,"10,10",5,0.922991760847057,0.01,128,50,1000,0.289929130298127
41,11_donors,rbf,"10,10,10",5,0.8894544062502711,0.01,128,50,1000,0.21423150978504202
42,11_donors,rbf,"15,15",5,0.9184284707540521,0.01,128,50,1000,0.27502457717738704
43,11_donors,rbf,"5,5",5,0.9529968070019751,0.01,128,50,1000,0.379762154535883
44,12_fault,rbf,"15,15",13,0.6947064785218671,0.01,128,50,1000,0.524094747863314
45,12_fault,rbf,"5,5",13,0.416218393492892,0.01,128,50,1000,0.284215852076721
46,12_fault,rbf,"10,10",13,0.6849744029521061,0.01,128,50,1000,0.5187035657025071
47,12_fault,rbf,"10,10,10",13,0.0,0.01,128,50,1000,0.0
48,13_fraud,rbf,"5,5",14,0.9458430717863101,0.01,128,50,1000,0.09782851966713801
49,13_fraud,rbf,"10,10",14,0.945909849749582,0.01,128,50,1000,0.09790039747486501
50,13_fraud,rbf,"15,15",14,0.9451752921535891,0.01,128,50,1000,0.095896624538801
51,13_fraud,rbf,"10,10,10",14,0.0,0.01,128,50,1000,0.0
52,14_glass,rbf,"15,15",3,0.8754325259515571,0.01,128,50,1000,0.34904860447875
53,14_glass,rbf,"10,10",3,0.896508335954702,0.01,128,50,1000,0.366703750419186
54,14_glass,rbf,"10,10,10",3,0.880150990877634,0.01,128,50,1000,0.33836670838351
55,14_glass,rbf,"5,5",3,0.8062283737024221,0.01,128,50,1000,0.275962828835689
56,15_Hepatitis,rbf,"10,10,10",9,0.9586581620600041,0.01,128,50,1000,0.717761967307157
57,15_Hepatitis,rbf,"15,15",9,0.939444050712654,0.01,128,50,1000,0.7392691761456041
58,15_Hepatitis,rbf,"10,10",9,0.9478699110166151,0.01,128,50,1000,0.7500284038450281
59,15_Hepatitis,rbf,"5,5",9,0.946924954720844,0.01,128,50,1000,0.716326545859272
60,16_http,rbf,"5,5",1,0.9996648793565681,0.01,128,50,1000,0.8475279673349521
61,16_http,rbf,"10,10",1,0.9996648793565681,0.01,128,50,1000,0.8475279673349521
62,16_http,rbf,"15,15",1,0.9996648793565681,0.01,128,50,1000,0.8475279673349521
63,16_http,rbf,"10,10,10",1,0.9996648793565681,0.01,128,50,1000,0.8475279673349521
64,17_InternetAds,rbf,"10,10",15,0.0,0.01,128,50,1000,0.0
65,17_InternetAds,rbf,"15,15",15,0.0,0.01,128,50,1000,0.0
66,17_InternetAds,rbf,"10,10,10",15,0.0,0.01,128,50,1000,0.0
67,17_InternetAds,rbf,"5,5",15,0.0,0.01,128,50,1000,0.0
68,18_Ionosphere,rbf,"5,5",15,0.9894736842105261,0.01,128,50,1000,0.985596996407988
69,18_Ionosphere,rbf,"10,10",15,0.988468899521531,0.01,128,50,1000,0.9836703941393141
70,18_Ionosphere,rbf,"10,10,10",15,0.0,0.01,128,50,1000,0.0
71,18_Ionosphere,rbf,"15,15",15,0.9879904306220091,0.01,128,50,1000,0.9844722087264631
72,19_landsat,rbf,"10,10",15,0.0,0.01,128,50,1000,0.0
73,19_landsat,rbf,"5,5",15,0.524789353363814,0.01,128,50,1000,0.21327228343398402
74,19_landsat,rbf,"15,15",15,0.498878184193337,0.01,128,50,1000,0.203452372179195
75,19_landsat,rbf,"10,10,10",15,0.0,0.01,128,50,1000,0.0
76,20_letter,rbf,"10,10",15,0.5291851851851851,0.01,128,50,1000,0.090231817464978
77,20_letter,rbf,"15,15",15,0.549703703703703,0.01,128,50,1000,0.09234407842728601
