,dataset,kernel,layers,latent_dim,lr,batch_size,n_inducing,n_epochs,auc_roc,auc_pr
3,01_ALOI,rbf,"5,5",13,0.01,128,10,1000,0.5300563994273171,0.037519257726711004
6,02_annthyroid,rbf,"10,10,10",3,0.01,128,10,1000,0.698640625,0.277148117261909
9,03_backdoor,rbf,"15,15",2,0.01,128,50,1000,0.8321063286513201,0.353790964731304
16,04_breastw,rbf,"10,10,10",4,0.01,128,25,1000,0.993152006172839,0.987941463804556
23,05_campaign,rbf,"5,5",15,0.01,128,100,1000,0.7361962738796901,0.28321646117681903
28,06_cardio,rbf,"15,15",10,0.01,128,50,1000,0.9679586955696441,0.7212818283843261
32,07_Cardiotocography,rbf,"5,5",10,0.01,128,10,1000,0.7638239538239531,0.5250842685234111
39,08_celeba,rbf,"5,5",15,0.01,128,10,1000,0.8294497509045291,0.16947730846630402
42,09_census,rbf,"10,10,10",2,0.01,128,50,1000,0.6636570495895541,0.08760304359399
48,10_cover,rbf,"5,5",5,0.01,128,10,1000,0.9534883720930231,0.149160168516062
53,11_donors,rbf,"5,5",5,0.01,128,100,1000,0.9676828578637361,0.587406992132099
54,12_fault,rbf,"15,15",2,0.01,128,50,1000,0.744770146305969,0.567045713093422
60,13_fraud,rbf,"10,10",2,0.01,128,50,1000,0.9477128547579291,0.133262818246911
68,14_glass,rbf,"10,10",3,0.01,128,100,1000,0.8886442277445731,0.34253052021295605
70,15_Hepatitis,rbf,"10,10,10",9,0.01,128,25,1000,0.9381053626269781,0.769116922307668
72,16_http,rbf,"5,5",1,0.01,128,10,1000,0.9996648793565681,0.8475279673349521
75,17_InternetAds,rbf,"10,10",2,0.01,128,50,1000,0.630208333333333,0.30676422595657005
81,18_Ionosphere,rbf,"5,5",2,0.01,128,50,1000,0.9893301435406691,0.98587770679575
87,19_landsat,rbf,"5,5",2,0.01,128,50,1000,0.724998367080339,0.40742146140023805
94,20_letter,rbf,"15,15",5,0.01,128,50,1000,0.8820740740740741,0.316867121123452
100,21_Lymphography,rbf,"10,10,10",9,0.01,128,25,1000,1.0,0.9999999999999991
104,22_magic.gamma,rbf,"10,10",5,0.01,128,100,1000,0.795868434818591,0.741298482056676
105,23_mammography,rbf,"15,15",3,0.01,128,10,1000,0.865620736698499,0.276730013942382
109,24_mnist,rbf,"5,5",5,0.01,128,50,1000,0.9207928077073411,0.5724623936373651
114,25_musk,rbf,"10,10",2,0.01,128,50,1000,1.0,0.9999999999999991
120,26_optdigits,rbf,"10,10",2,0.01,128,50,1000,0.9319152046783621,0.173116797249266
128,27_PageBlocks,rbf,"15,15",5,0.01,128,100,1000,0.942385509380088,0.7130637946153601
131,28_pendigits,rbf,"10,10",8,0.01,128,100,1000,0.9696908871938981,0.32128113718155404
134,29_Pima,rbf,"15,15",4,0.01,128,100,1000,0.711442545155198,0.549206657798047
135,30_satellite,rbf,"10,10",2,0.01,128,50,1000,0.8145216485642011,0.765176410289908
141,31_satimage-2,rbf,"15,15",2,0.01,128,50,1000,0.9992801771871531,0.9736575481256331
147,32_shuttle,rbf,"5,5",4,0.01,128,10,1000,0.99830337095117,0.9602424271339871
150,33_skin,rbf,"10,10",1,0.01,128,10,1000,0.891106414895786,0.510430194124545
155,34_smtp,rbf,"10,10,10",1,0.01,128,100,1000,0.588196065355118,0.0008090614886730001
156,35_SpamBase,rbf,"10,10",2,0.01,128,50,1000,0.6477325009933701,0.5028199989395581
163,36_speech,rbf,"10,10",5,0.01,128,50,1000,0.47155841503267903,0.017778583970491
170,37_Stamps,rbf,"15,15",4,0.01,128,100,1000,0.9649454545454541,0.6892154009790481
171,38_thyroid,rbf,"10,10,10",3,0.01,128,10,1000,0.9673266045548651,0.619246766991932
176,39_vertebral,rbf,"10,10",3,0.01,128,100,1000,0.46807692307692306,0.120898997393189
179,40_vowels,rbf,"10,10",6,0.01,128,100,1000,0.9532385466034751,0.6751135623557101
185,41_Waveform,rbf,"5,5",10,0.01,128,100,1000,0.8293785310734461,0.278648377873764
188,42_WBC,rbf,"10,10",4,0.01,128,100,1000,0.9946395068346281,0.921731586491311
189,43_WDBC,rbf,"5,5",2,0.01,128,50,1000,0.9979310344827581,0.9263455988455981
197,44_Wilt,rbf,"15,15",2,0.01,128,100,1000,0.319059319059319,0.036121906294686
200,45_wine,rbf,"10,10",6,0.01,128,100,1000,0.9951690821256031,0.9630717013338961
201,46_WPBC,rbf,"10,10",2,0.01,128,50,1000,0.825481481481481,0.6198440344185571
209,47_yeast,rbf,"10,10",4,0.01,128,100,1000,0.46415145005370506,0.34775102506169203
