,dataset,kernel,layers,latent_dim,lr,batch_size,n_inducing,n_epochs,auc_roc,auc_pr
0,01_ALOI,rbf,"5,5",2,0.01,128,50,1000,0.504757875331955,0.03564722674246
1,01_ALOI,rbf,"5,5",5,0.01,128,50,1000,0.517465690033582,0.036604465878758
2,01_ALOI,rbf,"5,5",10,0.01,128,50,1000,0.5166610632406431,0.03677491965342
3,01_ALOI,rbf,"5,5",13,0.01,128,10,1000,0.5300563994273171,0.037519257726711004
4,01_ALOI,rbf,"5,5",13,0.01,128,25,1000,0.529941182914713,0.037505073367878006
5,01_ALOI,rbf,"5,5",13,0.01,128,100,1000,0.5160113176613691,0.035176381246495005
6,02_annthyroid,rbf,"10,10,10",3,0.01,128,10,1000,0.698640625,0.277148117261909
7,02_annthyroid,rbf,"10,10,10",3,0.01,128,25,1000,0.690528124999999,0.27475265230649903
8,02_annthyroid,rbf,"10,10,10",3,0.01,128,100,1000,0.68839375,0.27664297277509003
9,03_backdoor,rbf,"15,15",2,0.01,128,50,1000,0.8321063286513201,0.353790964731304
10,03_backdoor,rbf,"15,15",5,0.01,128,50,1000,0.8202866911266161,0.32066014586816405
11,03_backdoor,rbf,"15,15",10,0.01,128,50,1000,0.0,0.0
12,03_backdoor,rbf,"15,15",15,0.01,128,10,1000,0.7728398386220361,0.282280992001992
13,03_backdoor,rbf,"15,15",15,0.01,128,25,1000,0.0,0.0
14,03_backdoor,rbf,"15,15",15,0.01,128,100,1000,0.0,0.0
15,04_breastw,rbf,"10,10,10",4,0.01,128,10,1000,0.989197530864197,0.9808751019773121
16,04_breastw,rbf,"10,10,10",4,0.01,128,25,1000,0.993152006172839,0.987941463804556
17,04_breastw,rbf,"10,10,10",4,0.01,128,100,1000,0.9921875,0.985570672356685
18,05_campaign,rbf,"5,5",2,0.01,128,50,1000,0.7239232137136801,0.25248829903763104
19,05_campaign,rbf,"5,5",5,0.01,128,50,1000,0.7314325041117721,0.268959873938509
20,05_campaign,rbf,"5,5",10,0.01,128,50,1000,0.7322837230414321,0.268525740071942
21,05_campaign,rbf,"5,5",15,0.01,128,10,1000,0.0,0.0
22,05_campaign,rbf,"5,5",15,0.01,128,25,1000,0.733390760426016,0.27149358700998805
23,05_campaign,rbf,"5,5",15,0.01,128,100,1000,0.7361962738796901,0.28321646117681903
24,06_cardio,rbf,"15,15",2,0.01,128,50,1000,0.9034584867696741,0.593250400667479
25,06_cardio,rbf,"15,15",5,0.01,128,50,1000,0.934171064120572,0.6489091512838241
26,06_cardio,rbf,"15,15",10,0.01,128,10,1000,0.9586576060134391,0.686041340823585
27,06_cardio,rbf,"15,15",10,0.01,128,25,1000,0.957860369765764,0.6803927457272261
28,06_cardio,rbf,"15,15",10,0.01,128,50,1000,0.9679586955696441,0.7212818283843261
29,06_cardio,rbf,"15,15",10,0.01,128,100,1000,0.9498120800273331,0.6709710312824051
30,07_Cardiotocography,rbf,"5,5",2,0.01,128,50,1000,0.7045021645021641,0.47508448263656206
31,07_Cardiotocography,rbf,"5,5",5,0.01,128,50,1000,0.7557720057720051,0.539788989974723
32,07_Cardiotocography,rbf,"5,5",10,0.01,128,10,1000,0.7638239538239531,0.5250842685234111
33,07_Cardiotocography,rbf,"5,5",10,0.01,128,25,1000,0.754646464646464,0.524385615508149
34,07_Cardiotocography,rbf,"5,5",10,0.01,128,50,1000,0.7362770562770561,0.51592594188077
35,07_Cardiotocography,rbf,"5,5",10,0.01,128,100,1000,0.7438383838383831,0.506369454883283
36,08_celeba,rbf,"5,5",2,0.01,128,50,1000,0.777284732152398,0.082857586121984
37,08_celeba,rbf,"5,5",5,0.01,128,50,1000,0.7978433777244021,0.091800189014971
38,08_celeba,rbf,"5,5",10,0.01,128,50,1000,0.8044486059304561,0.09547325869209301
39,08_celeba,rbf,"5,5",15,0.01,128,10,1000,0.8294497509045291,0.16947730846630402
40,08_celeba,rbf,"5,5",15,0.01,128,25,1000,0.8294344845835601,0.16950790432735902
41,08_celeba,rbf,"5,5",15,0.01,128,100,1000,0.8294421177440451,0.16941627165362003
42,09_census,rbf,"10,10,10",2,0.01,128,50,1000,0.6636570495895541,0.08760304359399
43,09_census,rbf,"10,10,10",5,0.01,128,50,1000,0.0,0.0
44,09_census,rbf,"10,10,10",10,0.01,128,50,1000,0.0,0.0
45,09_census,rbf,"10,10,10",15,0.01,128,10,1000,0.0,0.0
46,09_census,rbf,"10,10,10",15,0.01,128,25,1000,0.0,0.0
47,09_census,rbf,"10,10,10",15,0.01,128,100,1000,0.0,0.0
48,10_cover,rbf,"5,5",5,0.01,128,10,1000,0.9534883720930231,0.149160168516062
49,10_cover,rbf,"5,5",5,0.01,128,25,1000,0.94577728753664,0.169459108643255
50,10_cover,rbf,"5,5",5,0.01,128,100,1000,0.9392611657525711,0.164760958379393
51,11_donors,rbf,"5,5",5,0.01,128,10,1000,0.9050083087550781,0.25567382985763604
52,11_donors,rbf,"5,5",5,0.01,128,25,1000,0.9509000426313081,0.369906391369952
