,dataset,n_samples,n_features,n_anomaly,pct_anomaly,domain,kernel,batch_size,learning_rate,loss,anomaly_type,noise_type,noise_ratio,latent_dim,layers,n_inducing,n_epochs,elbo,auc_roc,auc_pr,training_time,inference_time
22,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"10,10,10",50,1000,44.01501636505127,0.5136729890940961,0.036733014804904006,54.99508452415466,0.025609016418457003
45,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"10,10,10",25,1000,7.6245368957519535,0.701578125,0.24016596564182802,22.9489905834198,0.010804176330566
69,03_backdoor,95329,196,2329,2.44,Network,rbf,128,0.01,normal,normal,normal,0,15,"10,10,10",25,1000,166.70394897460938,0.765934631345601,0.27018232492258104,70.5373022556305,0.07147812843322701
85,04_breastw,683,9,239,34.99,Healthcare,rbf,128,0.01,normal,normal,normal,0,4,"5,5",50,1000,2.935173106193542,0.9906442901234561,0.983319667368806,11.292685985565186,0.006088018417358
119,05_campaign,41188,62,4640,11.27,Finance,rbf,128,0.01,normal,normal,normal,0,15,"10,10,10",100,1000,115.39174308776856,0.7313113865247061,0.274472795905831,66.06802916526794,0.077650547027587
133,06_cardio,1831,21,176,9.61,Healthcare,rbf,128,0.01,normal,normal,normal,0,10,"5,5",50,1000,24.97858371734619,0.962605823620971,0.664174603370689,16.96221661567688,0.009369611740112001
158,07_Cardiotocography,2114,21,466,22.04,Healthcare,rbf,128,0.01,normal,normal,normal,0,10,"5,5",100,1000,25.19440050125122,0.753953823953823,0.51364114910186,18.976699113845825,0.010940790176391001
182,08_celeba,202599,39,4547,2.24,Image,rbf,128,0.01,normal,normal,normal,0,15,"5,5",100,1000,55.50163230895996,0.829424307036247,0.169513399582245,67.96279311180115,0.048331975936889
215,09_census,299285,500,18568,6.2,Sociology,rbf,128,0.01,normal,normal,normal,0,15,"10,10,10",100,1000,771.6415405273438,0.662547165282511,0.087288077888623,548.7238321304321,2.491966962814331
226,10_cover,286048,10,2747,0.96,Botany,rbf,128,0.01,normal,normal,normal,0,2,"10,10,10",50,1000,13.166385698318482,0.9531513313110881,0.12666998894998402,29.303073167800903,0.013684988021850001
240,11_donors,619326,10,36710,5.93,Sociology,rbf,128,0.01,normal,normal,normal,0,2,"5,5",25,1000,13.410447120666504,0.8437627785173001,0.166489851651336,27.453049421310425,0.012420654296875002
287,12_fault,1941,27,673,34.67,Physical,rbf,128,0.01,normal,normal,normal,0,13,"10,10,10",100,1000,71.49242858886718,0.504417764611106,0.340430469107703,19.935896396636963,0.011893272399902
311,13_fraud,284807,29,492,0.17,Finance,rbf,128,0.01,normal,normal,normal,0,14,"10,10,10",100,1000,41.23518714904785,0.945909849749582,0.09790039747486501,61.66812300682068,0.032652378082275
312,14_glass,214,7,9,4.21,Forensic,rbf,128,0.01,normal,normal,normal,0,2,"5,5",25,1000,8.554505538940429,0.8301352626612141,0.29757123655079104,11.252487421035767,0.005774259567260001
359,15_Hepatitis,80,19,13,16.25,Healthcare,rbf,128,0.01,normal,normal,normal,0,9,"10,10,10",100,1000,26.529235935211183,0.8595164973619971,0.47768594838653006,15.726122379302979,0.008171796798706001
382,16_http,567498,3,2211,0.39,Web,rbf,128,0.01,normal,normal,normal,0,2,"10,10,10",50,1000,3.884754908084869,0.996983914209115,0.44481816787079503,29.04459309577942,0.011924505233764001
407,17_InternetAds,1966,1555,368,18.72,Image,rbf,128,0.01,normal,normal,normal,0,15,"10,10,10",100,1000,2248.7832641601562,0.632443181818181,0.307917539940112,997.7899980545044,0.28475165367126404
