,dataset,n_samples,n_features,n_anomaly,pct_anomaly,domain,kernel,batch_size,learning_rate,loss,anomaly_type,noise_type,noise_ratio,latent_dim,layers,n_inducing,n_epochs,elbo,auc_roc,auc_pr,training_time,inference_time
5,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"10,10",100,1000,36.31242923736572,0.5178396715007231,0.036968916300316006,35.31469440460205,0.037166357040405
47,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"10,10,10",100,1000,7.294843673706055,0.707246874999999,0.27811824870753604,24.6998131275177,0.012152433395385001
56,03_backdoor,95329,196,2329,2.44,Network,rbf,128,0.01,normal,normal,normal,0,7,"15,15",100,1000,126.01511993408204,0.804798061156285,0.296328667424126,54.478004932403564,0.158710718154907
75,04_breastw,683,9,239,34.99,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"10,10",25,1000,2.561009049415588,0.9919945987654321,0.985990011371731,10.621031522750854,0.005828619003295001
101,05_campaign,41188,62,4640,11.27,Finance,rbf,128,0.01,normal,normal,normal,0,7,"10,10",100,1000,81.09104194641114,0.729904385022621,0.271478743360821,39.730424642562866,0.066787004470825
128,06_cardio,1831,21,176,9.61,Healthcare,rbf,128,0.01,normal,normal,normal,0,5,"15,15",100,1000,22.811601448059083,0.9471166622375761,0.659286884793276,16.391350507736206,0.008944511413574
152,07_Cardiotocography,2114,21,466,22.04,Healthcare,rbf,128,0.01,normal,normal,normal,0,5,"15,15",100,1000,23.312697315216063,0.749509379509379,0.5342119962597021,16.42834186553955,0.009315967559814
176,08_celeba,202599,39,4547,2.24,Image,rbf,128,0.01,normal,normal,normal,0,7,"15,15",100,1000,50.99282035827637,0.781788296838344,0.083323016747557,40.15072441101074,0.038814306259155
196,09_census,299285,500,18568,6.2,Sociology,rbf,128,0.01,normal,normal,normal,0,7,"10,10",50,1000,699.1052978515625,0.6649935192741581,0.0877765313928,60.01669716835022,0.19786930084228502
233,10_cover,286048,10,2747,0.96,Botany,rbf,128,0.01,normal,normal,normal,0,5,"10,10",100,1000,12.609119606018066,0.9305491722074121,0.12284224667234901,31.12278127670288,0.016376972198486002
251,11_donors,619326,10,36710,5.93,Sociology,rbf,128,0.01,normal,normal,normal,0,2,"10,10,10",100,1000,11.124653530120849,0.967954741210555,0.47686616486023803,29.480252027511597,0.015762567520141
272,12_fault,1941,27,673,34.67,Physical,rbf,128,0.01,normal,normal,normal,0,6,"15,15",100,1000,24.45956974029541,0.743639718302538,0.582521645497285,16.456458806991577,0.009896516799926001
306,13_fraud,284807,29,492,0.17,Finance,rbf,128,0.01,normal,normal,normal,0,14,"15,15",25,1000,40.995878028869626,0.946310517529215,0.09791662882571901,57.857725620269775,0.024712800979614
319,14_glass,214,7,9,4.21,Forensic,rbf,128,0.01,normal,normal,normal,0,2,"15,15",50,1000,6.78769817352295,0.843032400125825,0.32680452370824103,11.7474365234375,0.0059595108032220005
344,15_Hepatitis,80,19,13,16.25,Healthcare,rbf,128,0.01,normal,normal,normal,0,4,"15,15",100,1000,10.218954181671142,1.0,1.0,13.343815803527832,0.0068442821502680004
365,16_http,567498,3,2211,0.39,Web,rbf,128,0.01,normal,normal,normal,0,1,"10,10",100,1000,3.8728213667869573,0.996983914209115,0.44481816787079503,14.930143594741821,0.009896039962768001
393,17_InternetAds,1966,1555,368,18.72,Image,rbf,128,0.01,normal,normal,normal,0,7,"10,10,10",25,1000,2177.748571777344,0.6319696969696971,0.30741586812471,55.24102973937988,0.060893535614013006
415,18_Ionosphere,351,32,126,35.9,Oryctognosy,rbf,128,0.01,normal,normal,normal,0,7,"15,15",50,1000,11.282032918930053,0.9888995215311001,0.985854520642033,13.099631071090698,0.0072906017303460005
440,19_landsat,6435,36,1333,20.71,Astronautics,rbf,128,0.01,normal,normal,normal,0,7,"15,15",100,1000,15.151391220092773,0.6400898105813191,0.31648106349361405,28.107396364212036,0.020643949508666
464,20_letter,1600,32,100,6.25,Image,rbf,128,0.01,normal,normal,normal,0,7,"15,15",100,1000,36.21716651916504,0.8465925925925921,0.279486602779744,18.058871269226074,0.009853839874267
488,21_Lymphography,148,18,6,4.05,Healthcare,rbf,128,0.01,normal,normal,normal,0,4,"15,15",100,1000,17.25418939590454,1.0,0.9999999999999991,13.551792860031128,0.00700831413269
521,22_magic.gamma,19020,10,6688,35.16,Physical,rbf,128,0.01,normal,normal,normal,0,5,"10,10",100,1000,8.511868667602538,0.778846003700783,0.718934545159525,25.018399238586426,0.015960931777954
539,23_mammography,11183,6,260,2.32,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"10,10,10",100,1000,5.769064092636109,0.8517976085386401,0.276221511167941,29.81682538986206,0.013695478439331001
560,24_mnist,7603,100,700,9.21,Image,rbf,128,0.01,normal,normal,normal,0,7,"15,15",100,1000,99.4901954650879,0.9209422639166721,0.5702902563168141,37.96976947784424,0.039797544479370006
578,25_musk,3062,166,97,3.17,Chemistry,rbf,128,0.01,normal,normal,normal,0,7,"5,5",100,1000,204.0704246520996,1.0,0.9999999999999991,33.31927490234375,0.027179718017578004
608,26_optdigits,5216,64,150,2.88,Image,rbf,128,0.01,normal,normal,normal,0,7,"15,15",100,1000,78.44951705932617,0.8992690058479531,0.12490691019318101,30.082566738128662,0.02301025390625
