,dataset,n_samples,n_features,n_anomaly,pct_anomaly,domain,kernel,batch_size,learning_rate,loss,anomaly_type,noise_type,noise_ratio,latent_dim,layers,n_inducing,n_epochs,elbo,auc_roc,auc_pr,training_time,inference_time
0,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"5,5",25,1000,37.31277141571045,0.5136729890940961,0.036397546686742,33.41209435462952,0.017003774642944003
1,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"5,5",50,1000,37.04353427886963,0.504772985694264,0.035843538229036,33.59554624557495,0.023036479949951002
2,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"5,5",100,1000,36.8991641998291,0.5314503303502961,0.037559678773782,35.21259927749634,0.035715818405151
3,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"10,10",25,1000,37.031058883666994,0.52867380127607,0.036882244358258,32.96112608909607,0.015970468521118
4,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"10,10",50,1000,36.95483131408692,0.511546205599144,0.036391568649572,33.62620282173157,0.019305944442749003
5,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"10,10",100,1000,36.31242923736572,0.5178396715007231,0.036968916300316006,35.31469440460205,0.037166357040405
6,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"15,15",25,1000,36.92135887145996,0.516795167706133,0.036702620788657006,33.52100491523743,0.016914844512939002
7,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"15,15",50,1000,36.66899089813232,0.5062462460193641,0.036153068188599,33.64580416679382,0.023592710494995003
8,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"15,15",100,1000,36.729078483581546,0.5277785123092781,0.036385623026020004,35.19816875457764,0.0351243019104
9,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"10,10,10",25,1000,37.03368225097656,0.519968343790963,0.036172773769317004,33.60100054740906,0.017894506454467
10,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"10,10,10",50,1000,36.63952980041504,0.5185158602140381,0.036702105798856,34.59416222572327,0.018392086029052002
11,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,6,"10,10,10",100,1000,36.48635406494141,0.5109455686973731,0.036740208108272006,36.837589502334595,0.034845352172851
12,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"5,5",25,1000,38.33307247161865,0.530041289065008,0.037515267042672,53.2243287563324,0.026830434799194003
13,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"5,5",50,1000,38.3327054977417,0.5301130632859751,0.037536443908157004,53.861552715301514,0.025161981582641
14,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"5,5",100,1000,38.06946926116943,0.5225125510446921,0.036802650895916,56.36147713661194,0.042431592941284006
15,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"10,10",25,1000,38.07222003936768,0.514364288169719,0.036409465845144005,53.249908685684204,0.023189544677734
16,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"10,10",50,1000,38.332336807250975,0.530041289065008,0.037515662627130006,53.99285817146301,0.025343894958496004
17,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"10,10",100,1000,38.33304443359375,0.530041289065008,0.037517097700167,56.563225746154785,0.036208152770996004
18,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"15,15",25,1000,38.332306480407716,0.5300601770178941,0.037521242543547,53.255741357803345,0.023335695266723
19,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"15,15",50,1000,38.28306503295899,0.508244591434691,0.036226446779889,54.154003620147705,0.025524616241455002
20,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"15,15",100,1000,38.480695724487305,0.526724564538246,0.037278933274495,55.550883769989014,0.041077852249145
21,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"10,10,10",25,1000,43.88726921081543,0.5274196412044471,0.037192766143721,55.620407581329346,0.023457050323486002
22,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"10,10,10",50,1000,44.01501636505127,0.5136729890940961,0.036733014804904006,54.99508452415466,0.025609016418457003
23,01_ALOI,49534,27,1508,3.04,Image,rbf,128,0.01,normal,normal,normal,0,13,"10,10,10",100,1000,38.33224964141846,0.5300563994273171,0.037520914294255005,56.48905396461487,0.036870241165161
24,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"5,5",25,1000,7.5401739358901985,0.697021874999999,0.24309526487063302,23.200209140777588,0.009921550750732
25,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"5,5",50,1000,7.615909838676453,0.695881249999999,0.242837680198169,22.492429494857788,0.010299682617187
26,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"5,5",100,1000,7.578405141830444,0.674046875,0.227402313222748,23.426557302474976,0.011370658874511
27,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"10,10",25,1000,7.524079465866089,0.686440625,0.24748208568845,22.131610870361328,0.00989294052124
28,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"10,10",50,1000,7.589707636833191,0.678821874999999,0.24237399905806,22.56410574913025,0.010503053665161001
29,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"10,10",100,1000,7.454054069519043,0.71839375,0.26347739466068504,23.47070074081421,0.01141881942749
30,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"15,15",25,1000,7.441791582107544,0.699118749999999,0.257514648882038,22.13222885131836,0.010099649429321001
31,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"15,15",50,1000,7.385817909240723,0.687574999999999,0.26536614473082804,22.584165811538696,0.010487318038940001
32,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"15,15",100,1000,7.361225509643555,0.700409375,0.27235097064101205,24.820271015167236,0.011545181274414
33,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"10,10,10",25,1000,7.593823099136353,0.690834375,0.239422881186268,22.64532709121704,0.010322570800781
34,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"10,10,10",50,1000,7.459972500801086,0.6811375,0.250190816522945,23.066024780273438,0.010761976242065001
35,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,2,"10,10,10",100,1000,7.535202670097351,0.6882125,0.23804959518669602,23.99155902862549,0.011724472045898
36,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"5,5",25,1000,7.533900547027588,0.69826875,0.24098935034834001,22.504426956176758,0.010283708572387001
37,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"5,5",50,1000,7.4453863382339485,0.681284375,0.25197954357984803,22.79739284515381,0.010744810104370001
38,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"5,5",100,1000,7.558565473556518,0.7011343750000001,0.246888745669107,23.750617742538452,0.01201581954956
39,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"10,10",25,1000,7.460968112945556,0.7019406250000001,0.24894786868774701,22.958285570144653,0.017259836196899
40,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"10,10",50,1000,7.318942785263061,0.6977968750000001,0.267739157712795,23.48382019996643,0.010799646377563001
41,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"10,10",100,1000,7.331537413597107,0.6891406250000001,0.26783004382075204,23.7764310836792,0.011727571487426001
42,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"15,15",25,1000,7.540819215774536,0.6892874999999999,0.23630865067985202,22.483027696609497,0.010428190231323001
43,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"15,15",50,1000,7.503005194664001,0.6750875000000001,0.241208131501904,22.873397827148438,0.010941743850708001
44,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"15,15",100,1000,7.318216061592102,0.6916625,0.264854771503973,23.84154772758484,0.011786699295043002
45,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"10,10,10",25,1000,7.6245368957519535,0.701578125,0.24016596564182802,22.9489905834198,0.010804176330566
46,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"10,10,10",50,1000,7.446077752113342,0.68911875,0.24494199914824202,23.40153431892395,0.011512279510498
47,02_annthyroid,7200,6,534,7.42,Healthcare,rbf,128,0.01,normal,normal,normal,0,3,"10,10,10",100,1000,7.294843673706055,0.707246874999999,0.27811824870753604,24.6998131275177,0.012152433395385001
48,03_backdoor,95329,196,2329,2.44,Network,rbf,128,0.01,normal,normal,normal,0,7,"5,5",25,1000,139.43447036743163,0.8119244658802931,0.28416034097965803,43.59503626823425,0.056744575500488004
49,03_backdoor,95329,196,2329,2.44,Network,rbf,128,0.01,normal,normal,normal,0,7,"5,5",50,1000,128.91453857421874,0.812044681884409,0.291627264549616,44.48920297622681,0.089979648590087
