,dataset,pearson_stats,pearson_p_value
23,24_mnist,-0.9426086956521739,5.871718607937181e-12
14,15_Hepatitis,-0.9171559251386256,2.951904110573611e-10
27,28_pendigits,-0.9113043478260868,6.082201798284105e-10
2,03_backdoor,-0.9052173913043478,1.2261390339743372e-09
29,30_satellite,-0.9052173913043478,1.2261390339743372e-09
18,19_landsat,-0.8982608695652173,2.584870492609389e-09
11,12_fault,-0.8956521739130434,3.3725335305644837e-09
25,26_optdigits,-0.874782608695652,2.2660431196761026e-08
1,02_annthyroid,-0.8652173913043478,4.8615197967595536e-08
44,45_wine,-0.8573913043478261,8.706604985673429e-08
10,11_donors,-0.8408695652173912,2.6815316463498965e-07
37,38_thyroid,-0.8234782608695651,7.701888367045257e-07
34,35_SpamBase,-0.8034782608695652,2.2703633865898317e-06
17,18_Ionosphere,-0.7947826086956521,3.4995462491748772e-06
42,43_WDBC,-0.7912872809798225,4.140630426258562e-06
45,46_WPBC,-0.7852173913043478,5.504827399386528e-06
30,31_satimage-2,-0.7472618185463722,2.718160101734178e-05
19,20_letter,-0.7260869565217389,5.904811763747741e-05
22,23_mammography,-0.6799999999999999,0.00025659207303060905
21,22_magic.gamma,-0.6791304347826086,0.00026315190442545406
32,33_skin,-0.6295652173913043,0.0009794901264482063
20,21_Lymphography,-0.6134714195139258,0.0014325118720565032
13,14_glass,-0.6104347826086955,0.0015355573996011992
3,04_breastw,-0.58,0.002969699186636186
40,41_Waveform,-0.5391304347826086,0.0065569969186163235
9,10_cover,-0.5121739130434783,0.010506432119033723
26,27_PageBlocks,-0.4878260869565217,0.015596440710648222
33,34_smtp,-0.4765217391304347,0.018565115014353994
8,09_census,-0.42,0.0410196000141129
12,13_fraud,-0.4021034325574909,0.051432203485942594
31,32_shuttle,-0.31478260869565217,0.13408706839947862
36,37_Stamps,-0.27999999999999997,0.1851120536513263
15,16_http,-0.25604229329279055,0.22718484826609633
46,47_yeast,-0.23739130434782607,0.26401496121383244
6,07_Cardiotocography,-0.18086956521739128,0.39767420741690407
39,40_vowels,-0.17130434782608694,0.42350313678440454
28,29_Pima,-0.1208695652173913,0.5737097351958667
43,44_Wilt,-0.054782608695652164,0.799308243488264
38,39_vertebral,0.034782608695652174,0.8718168719786574
4,05_campaign,0.08347826086956521,0.6981606006787421
16,17_InternetAds,0.27999999999999997,0.1851120536513263
35,36_speech,0.38260869565217387,0.06499969935694089
0,01_ALOI,0.4139130434782608,0.044355692190527395
5,06_cardio,0.5043478260869565,0.011965355177749597
41,42_WBC,0.6895652173913043,0.00019329537597921907
7,08_celeba,0.8311578430701084,4.904617253590619e-07
24,25_musk,,
